estimator,dataset,f1,precision,recall
logistic regression,User rating,0.7071428571428571,0.5477777777777778,1.0
"SVM,",User rating,0.7071428571428571,0.5477777777777778,1.0
random forest,User rating,0.6106138306138307,0.5877380952380953,0.65
gradient boosting,User rating,0.5307209457209457,0.5808333333333333,0.5433333333333332
naive Bayes,User rating,0.5944677544677546,0.5382539682539683,0.6933333333333334
nearest mean,Visual,0.5785170385170385,0.5167857142857142,0.67
decision tree,Visual,0.6283333333333333,0.6271428571428571,0.6666666666666666
logistic regression,Visual,0.6413003663003662,0.5942460317460319,0.7333333333333333
"SVM,",Visual,0.702014652014652,0.5477777777777778,0.9800000000000001
bagging,Visual,0.5895959595959596,0.6021428571428571,0.5966666666666667
random forest,Visual,0.6010839160839161,0.5814285714285714,0.6499999999999999
AdaBoost,Visual,0.6257964257964257,0.6058333333333333,0.6699999999999999
gradient boosting,Visual,0.6136297036297036,0.5748809523809524,0.6900000000000001
naive Bayes,Visual,0.7002564102564103,0.5859920634920635,0.8833333333333334
nearest neighbor,Metadata,0.5474475524475524,0.5329761904761905,0.5966666666666667
nearest mean,Metadata,0.6308458208458209,0.5948412698412698,0.6966666666666665
logistic regression,Metadata,0.6865268065268065,0.6275000000000001,0.7766666666666666
"SVM,",Metadata,0.7071428571428571,0.5477777777777778,1.0
bagging,Metadata,0.6293939393939393,0.5967857142857144,0.6966666666666665
random forest,Metadata,0.7071428571428571,0.5477777777777778,1.0
AdaBoost,Metadata,0.6112043512043511,0.609642857142857,0.6399999999999999
gradient boosting,Metadata,0.5127233877233877,0.5126190476190476,0.5366666666666667
decision tree,Metadata + user rating,0.63001443001443,0.6205555555555555,0.6599999999999999
"SVM,",Metadata + user rating,0.6456293706293705,0.5282539682539682,0.8466666666666667
random forest,Metadata + user rating,0.7176373626373627,0.5613888888888889,1.0
gradient boosting,Metadata + user rating,0.6020346320346321,0.5722222222222222,0.6533333333333333
naive Bayes,Metadata + user rating,0.6606227106227107,0.571031746031746,0.8100000000000002
nearest neighbor,Audio,0.5832867132867132,0.5676190476190477,0.6133333333333333
"SVM,",Audio,0.5642496392496391,0.5889682539682539,0.5966666666666666
random forest,Audio,0.6020435120435119,0.5904761904761904,0.6366666666666667
naive Bayes,Audio,0.6722527472527473,0.5322222222222222,0.93
nearest neighbor,Text,0.7071428571428571,0.5477777777777778,1.0
nearest mean,Text,0.6928571428571428,0.5436111111111112,0.96
logistic regression,Text,0.7071428571428571,0.5477777777777778,1.0
"SVM,",Text,0.6880952380952381,0.5366666666666666,0.96
bagging,Text,0.5683460983460984,0.5242857142857142,0.6533333333333333
